字符对,频度
血压,6117
乙肝,5342
患者,5108
可以,4664
高血,4634
治疗,3786
救治,3619
癫痫,3579
饮食,2879
检查,2703
药物,2598
糖尿,2482
尿病,2398
需要,2373
什么,2308
情况,2277
病毒,2223
建议,2177
肝病,2120
三阳,2007
医院,1935
如果,1893
要有,1778
怎么,1677
医生,1598
食物,1556
症状,1485
再次,1465
控制,1439
不要,1382
正常,1366
留意,1360
功能,1336
大三,1309
一定,1258
根据,1201
肝功,1182
疾病,1153
及时,1151
病情,1151
平时,1145
的情,1112
您好,1104
但是,1085
生活,1083
这种,1082
出现,1081
保持,1071
现在,1061
注意,1047
口服,1038
仔细,1021
好的,1015
次出,1012
肝炎,1010
引来,1006
比较,1005
血糖,999
不能,971
病的,963
一下,954
可能,953
痫病,945
细检,941
一般,938
实施,927
严重,915
传染,915
同时,911
身体,907
这样,898
主要,878
胃胀,874
许多,853
所以,846
的话,845
防止,840
压的,834
抗体,832
健康,825
的食,813
对症,813
应当,802
时候,797
疫苗,781
致使,763
是不,759
期望,752
除了,734
这个,734
的治,719
能够,715
的时,705
还是,702
小三,698
就是,691
方法,688
清淡,686
自身,683
么办,679
降压,677
的药,675
始终,667
的心,661
一直,661
终保,659
压药,657
不是,655
时间,651
定要,642
种情,636
你的,632
问题,631
如何,626
刺激,624
孩子,619
已经,615
最近,613
者的,612
因为,609
者可,602
病人,601
多吃,592
症救,591
外患,591
得了,590
感染,589
用药,583
而且,575
目前,571
是可,568
积极,565
才能,563
不会,559
者在,559
自己,557
述的,554
去医,552
日常,552
康复,551
能会,544
复发,542
效果,538
疗方,528
阳性,525
一些,523
诊断,520
或者,517
我想,516
通过,515
要是,514
据你,513
的症,512
以免,511
免疫,509
吗我,508
我们,508
有高,502
朋友,495
痫的,495
也是,494
是什,494
来的,492
要留,491
病患,489
恰当,489
水果,488
看重,483
服药,480
肝大,480
发觉,472
非常,472
蛋白,468
以吃,467
查出,467
引发,464
酒精,464
干扰,463
护理,463
工作,462
活动,458
原因,458
神经,457
进行,455
定期,454
消化,453
结果,452
以及,448
慢性,448
彻底,447
哪些,445
感觉,443
的饮,443
影响,442
长期,442
心态,442
辛辣,438
对于,438
肝疫,436
要吃,434
异常,433
由于,432
的病,431
病发,430
协助,427
蔬菜,424
心情,424
来说,424
还需,423
携带,423
特别,419
生的,419
谢谢,418
遗传,414
活中,411
发生,410
常的,410
恢复,407
是有,405
性的,405
不定,404
正规,404
肝患,404
我的,400
要的,400
获得,400
良好,399
是乙,397
不知,396
适当,395
决定,395
不同,391
有什,390
肝脏,390
最好,389
要及,388
油腻,385
叙述,383
增强,382
就要,382
的患,379
能吃,378
有一,378
服食,377
带者,376
议你,375
知晓,374
方面,373
吃什,370
脂肪,369
血管,368
散播,367
要注,364
容易,364
精肝,364
麻醉,361
是由,361
的一,360
一种,359
想问,359
上述,359
绝不,358
必要,355
样才,355
感冒,354
胰岛,353
作用,351
么治,351
较好,351
的医,348
你好,346
硬化,345
有哪,345
经常,345
期间,345
下降,344
也不,344
肝的,344
考虑,342
预防,341
是很,341
次发,341
抗病,340
压患,339
生素,335
就诊,333
都是,331
助到,331
只要,330
物治,329
发性,329
不可,327
不好,327
表现,327
表面,327
复检,325
能获,325
大的,324
增加,323
拥有,323
答案,323
规律,322
直面,322
面抗,320
岛素,319
以协,319
稳定,317
意饮,317
营养,317
比如,317
发作,315
有乙,315
危害,314
少吃,313
维生,312
治不,312
者还,311
常生,310
之外,310
个月,308
是一,307
缓解,307
时救,307
