Word,Frequency
,889266
血压,6117
患者,5108
可以,4664
高血压,4510
治疗,3785
救治,3619
癫痫,3579
饮食,2878
检查,2702
药物,2598
糖尿病,2396
需要,2373
什么,2308
情况,2277
病毒,2223
建议,2177
医院,1935
如果,1893
怎么,1677
医生,1598
食物,1556
症状,1485
控制,1439
不要,1381
正常,1366
留意,1360
功能,1336
一定,1258
根据,1201
疾病,1153
病情,1151
及时,1151
平时,1145
但是,1085
生活,1083
出现,1081
保持,1071
现在,1059
注意,1047
口服,1038
仔细,1021
肝炎,1010
比较,1005
血糖,998
一下,954
可能,953
一般,938
实施,927
严重,915
传染,914
同时,911
身体,907
这样,898
主要,878
许多,853
所以,846
的话,845
防止,840
抗体,832
健康,825
对症,813
候,802
应当,802
时候,797
疫苗,781
致使,763
期望,752
除了,734
这个,733
能够,715
还是,702
就是,691
方法,688
清淡,686
自身,683
始终,667
一直,661
不是,655
时间,651
问题,631
如何,626
刺激,624
孩子,619
已经,615
最近,613
因为,609
病人,600
得了,590
感染,587
而且,575
目前,571
积极,565
才能,563
自己,557
日常,552
康复,551
降压药,547
效果,538
阳性,525
一些,523
诊断,520
或者,517
通过,515
要是,514
以免,511
免疫,509
我们,508
朋友,495
恰当,489
水果,487
看重,483
发觉,472
非常,472
蛋白,468
酒精,464
干扰,463
工作,462
护理,462
活动,458
原因,458
神经,457
进行,455
定期,453
消化,453
结果,452
慢性,448
以及,448
彻底,447
哪些,445
长期,442
感觉,442
影响,442
对于,438
辛辣,438
异常,433
由于,432
协助,427
蔬菜,424
心情,424
携带,423
特别,419
谢谢,418
遗传,414
发生,410
恢复,407
不定,404
正规,404
获得,400
良好,399
决定,395
适当,395
肝脏,390
油腻,385
叙述,383
增强,382
知晓,374
方面,373
脂肪,369
血管,368
散播,367
容易,364
麻醉,361
上述,359
必要,355
感冒,354
作用,351
经常,345
期间,345
硬化,345
下降,344
考虑,342
预防,341
只要,330
表面,327
表现,327
不可,327
答案,323
拥有,323
增加,323
规律,322
比如,317
稳定,317
营养,317
发作,314
危害,314
胃炎,307
并且,302
那么,302
尽快,299
头晕,299
并发,298
啤酒,298
重要,295
中药,294
只有,291
有点,289
使用,288
